ticker,entry,notional,n_ins,csuite,ex20,ex60
BRKR,2024-11-19,5014068.82,1,1,0.15458211728645932,0.029850089398645974
BRKR,2025-02-19,1018329.76,1,1,-0.019572641093932974,-0.25146575010502736
BRKR,2025-03-11,23697.5,1,0,-0.09500965961588215,-0.23952943058993348
BRKR,2025-06-09,100042.88,1,1,0.03356074527684827,-0.32268880561854374
BSX,2021-11-16,1049450.0,1,0,-0.031301472463317825,0.10221477392326916
BSX,2025-02-13,4514.595,1,0,-0.007653144814820267,0.013047110705767362
BSX,2026-05-21,553999.7949999999,3,0,,
CAVA,2023-06-22,211090.0,4,1,0.20976045979334335,-0.1388852507781273
CAVA,2023-11-21,331800.0,1,0,0.19709981094709916,0.5257229307135916
CAVA,2025-11-12,7346.999999999999,1,1,0.07152740788433976,0.4011593474667021
CAVA,2026-05-28,317800.0,1,0,,
CAVA,2026-06-02,273750.0,2,0,,
CAVA,2026-06-05,70000.0,1,0,,
CEG,2024-05-10,6922.532999999999,1,0,-0.029849839073132323,-0.15991439309018518
CHTR,2019-07-31,0.0,2,0,0.0679466410702565,0.11905299316030571
CHTR,2020-02-05,0.0,2,0,0.05869726255681573,0.12640889394204846
CHTR,2022-02-02,1627885.7228,1,1,-0.01669167033088348,-0.18697735183831787
CHTR,2022-11-03,10174604.549999999,1,0,0.04394880159611403,0.05086405424890028
CHTR,2023-02-01,960874.75,1,0,-0.05764836277143981,-0.08768598253496518
CHTR,2024-02-07,1491214.5,1,1,-0.039434602786106665,-0.08901808187430482
CHTR,2025-07-31,1002258.6500000001,1,1,-0.04791484346287522,-0.16486906651126376
CHTR,2025-08-04,98715.59999999999,1,0,-0.004217095707961693,-0.1377188904600829
CHTR,2026-04-28,772770.6332,2,1,-0.20426511706582562,
CHTR,2026-04-29,995068.16,1,0,-0.13225026675234253,
CHTR,2026-05-18,1399307.8706,1,0,,
CI,2019-03-13,326800.0,1,1,-0.02351272989468778,-0.08510694990301515
CI,2019-09-09,5044421.529999999,1,1,-0.06275138083888965,0.16648935712614787
CI,2019-12-05,1993165.16,1,0,0.02068609440954905,0.06863052963836824
CI,2020-06-16,1023017.814,1,0,-0.09047229323322625,-0.18748681952599722
CI,2020-09-15,168768.0,1,1,0.019249050620423924,0.2248719307542837
CI,2021-08-12,210740.5,1,0,-0.0245395584067456,-0.03144108323119954
CI,2025-11-03,999916.2108,1,1,0.06250491426272198,0.04726568130469233
CLS,2025-10-30,2050025.04,1,0,0.007346820716482849,-0.007937936741194251
CNC,2019-07-29,151021.5,1,0,-0.1145259612727717,-0.08641226122025869
CNC,2021-03-01,9936.5,1,0,0.08932199714327904,0.17176109136523854
CNC,2022-05-02,507493.8,1,0,0.03384334424957447,0.1883906615431571
CNC,2022-05-03,1227003.75,2,0,0.02713619621531871,0.16775012455768956
CNC,2023-02-09,997935.0,2,1,-0.03824608891248371,-0.05971465719808955
CNC,2023-02-10,489156.0,1,1,-0.06223409604426944,-0.07747032111258756
