,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
DDOG_target_5d,0.05699449,0.043204475,0.029091202,0.030036539,0.03838785,0.046490468,0.055094108,0.06003489,0.036707994,0.0464586,0.03784927,0.051071525,0.042514235,0.047989782,0.053891424,0.043696947,0.035463084,0.0,0.0,0.12438199,0.05337089,0.026872026,0.040398132
DUOL_target_1d,0.04747719,0.04981216,0.04560355,0.039204903,0.043685365,0.041842,0.03451865,0.056049593,0.044096485,0.04337443,0.048415497,0.052911986,0.05067779,0.041386623,0.04313041,0.053287778,0.051064383,0.0,0.0,0.026532039,0.05718786,0.06660059,0.06314065
DUOL_target_3d,0.057845324,0.03856681,0.033895224,0.038281444,0.048574425,0.03891467,0.058802467,0.06413407,0.041836686,0.049307752,0.05014093,0.051614303,0.06486624,0.049631324,0.073441036,0.046385758,0.041069467,0.0,0.0,0.0,0.06359216,0.032949872,0.05615009
DUOL_target_5d,0.056579866,0.04078306,0.025541548,0.034224365,0.02592101,0.04986919,0.049259987,0.06702229,0.033136185,0.038150426,0.04521525,0.044321388,0.058394294,0.075457186,0.048474286,0.045407232,0.03767121,0.0,0.0,0.030873379,0.098046735,0.06166256,0.033988576
GOOG_target_1d,0.045704458,0.0394095,0.04464718,0.04422508,0.05105723,0.03535554,0.049226034,0.047554176,0.04871981,0.04507628,0.048876435,0.05681649,0.04998675,0.05709972,0.057093978,0.052638177,0.044501152,0.0,0.0,0.036763843,0.039148618,0.060736977,0.045362633
GOOG_target_3d,0.048551083,0.03661183,0.035567172,0.042556193,0.045390934,0.04181161,0.052463233,0.051156577,0.038572133,0.04477433,0.04366649,0.036545966,0.05142579,0.04761611,0.062298983,0.049357843,0.041832063,0.0,0.0,0.09217305,0.037249558,0.062218197,0.03816087
GOOG_target_5d,0.039241556,0.034395784,0.029620769,0.032522257,0.03548472,0.063446864,0.038649533,0.048988402,0.04178108,0.05220491,0.03438397,0.04346872,0.04804613,0.057345122,0.055583544,0.042436086,0.025997035,0.0,0.0,0.14679633,0.059860416,0.038844667,0.030902121
JNJ_target_1d,0.05187786,0.04915528,0.042523343,0.042974036,0.046906456,0.048276134,0.05950147,0.04557133,0.04883906,0.04819256,0.04208858,0.048225697,0.045922767,0.04385069,0.05500388,0.05065592,0.040900502,0.0,0.0,0.0,0.056820422,0.092615865,0.04009815
JNJ_target_3d,0.04966782,0.03883766,0.0306082,0.046226062,0.05011888,0.050673682,0.04874902,0.059506904,0.044261333,0.054521635,0.039946835,0.0454638,0.04686266,0.057313357,0.07702468,0.05554279,0.04619284,0.0,0.0,0.026172034,0.052034993,0.022463758,0.0578111
JNJ_target_5d,0.061019402,0.046893965,0.036312263,0.04297255,0.051657695,0.08647194,0.05574048,0.06158761,0.05943049,0.058688607,0.05483888,0.068425536,0.061889287,0.0722694,0.07686362,0.05557748,0.0374673,0.0,0.0,0.011893475,0.0,0.0,0.0
META_target_1d,0.046431404,0.044395704,0.046876673,0.04795127,0.045169543,0.03945621,0.039223004,0.049418215,0.04622062,0.045997184,0.044427317,0.040321343,0.045402996,0.04023506,0.058321424,0.04614871,0.04876359,0.0,0.0,0.065447256,0.05570107,0.05405797,0.05003336
META_target_3d,0.04336823,0.043571264,0.03744609,0.039884113,0.041858833,0.063098714,0.057824183,0.06523139,0.03518244,0.039423037,0.03861408,0.046124343,0.0620239,0.052326337,0.07122852,0.044554733,0.029539254,0.0,0.0,0.0521317,0.040119074,0.058781613,0.037668165
