n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
400,101,63,0.4762,0.5,0.7477,0.2763,0.4762,0.4762,63,0.4762,63,0.4762,63,CRWD,3,0,501,504
451,113,63,0.5079,0.4864,1.196,0.2817,0.5079,0.5079,63,0.5079,63,0.4545,11,CRWD,3,1,564,567
501,126,63,0.3492,0.3522,0.8459,0.323,0.6349,0.4286,7,0.5,4,,0,CRWD,3,2,627,630
552,138,63,0.6667,0.5,0.6547,0.2309,0.6667,0.6667,63,0.6667,63,,0,CRWD,3,3,690,693
602,151,63,0.5397,0.4838,0.7094,0.2577,0.5397,0.5397,63,0.5098,51,0.56,25,CRWD,3,4,753,756
652,164,63,0.5397,0.5,0.69,0.2484,0.5397,0.5397,63,,0,,0,CRWD,3,5,816,819
703,176,63,0.5873,0.5608,0.6643,0.2377,0.5873,0.5873,63,0.5882,51,0.6667,30,CRWD,3,6,879,882
753,189,63,0.3651,0.4891,2.244,0.3626,0.3651,0.3651,63,0.3714,35,0.3714,35,CRWD,3,7,942,945
804,201,63,0.6349,0.5,0.683,0.2449,0.6349,0.6349,63,,0,,0,CRWD,3,8,1005,1008
400,101,63,0.5397,0.5081,0.7014,0.2538,0.5397,0.5455,55,0.5455,55,,0,DDOG,3,0,501,504
451,113,63,0.5714,0.5725,0.8113,0.2833,0.5714,0.5714,63,0.5714,63,0.5833,60,DDOG,3,1,564,567
501,126,63,0.5873,0.6019,0.8846,0.2401,0.5873,0.5902,61,0.8333,12,0.8889,9,DDOG,3,2,627,630
552,138,63,0.4762,0.5793,1.1692,0.2735,0.4762,0.4762,63,0.5556,36,0.5556,36,DDOG,3,3,690,693
602,151,63,0.4444,0.4173,0.7301,0.268,0.4444,0.4444,63,0.3478,46,0.5714,14,DDOG,3,4,753,756
652,164,63,0.3175,0.5,0.706,0.2564,0.6825,,0,,0,,0,DDOG,3,5,816,819
703,176,63,0.5873,0.5632,0.6821,0.2443,0.6508,0.6923,39,0.6923,39,,0,DDOG,3,6,879,882
753,189,63,0.2381,0.4648,0.8272,0.3156,0.254,0.2419,62,0.2419,62,0.24,50,DDOG,3,7,942,945
804,201,63,0.5556,0.5556,0.6681,0.24,0.5714,0.5645,62,1.0,6,1.0,5,DDOG,3,8,1005,1008
400,101,63,0.5714,0.5041,0.9161,0.2538,0.4286,,0,,0,,0,DNA,3,0,501,504
451,113,63,0.5397,0.6317,0.9921,0.2848,0.2698,0.3421,38,0.3333,24,0.381,21,DNA,3,1,564,567
501,126,63,0.5238,0.4642,0.77,0.2788,0.381,0.3636,22,0.3636,22,0.3636,22,DNA,3,2,627,630
552,138,63,0.3492,0.5133,1.287,0.3265,0.6508,,0,,0,,0,DNA,3,3,690,693
602,151,63,0.3492,0.4473,0.7795,0.2863,0.3492,0.3273,55,0.4,10,0.4,10,DNA,3,4,753,756
652,164,63,0.5079,0.503,1.1749,0.2726,0.5397,0.5246,61,,0,,0,DNA,3,5,816,819
703,176,63,0.5397,0.5142,0.7,0.2528,0.4603,0.5,14,0.5556,9,,0,DNA,3,6,879,882
753,189,63,0.5079,0.4536,0.7349,0.2686,0.4921,,0,,0,,0,DNA,3,7,942,945
