ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
EVRG,5,24,0.5099,0.097,0.5326,0.2737,0.5376,561,0.5476
ES,5,26,0.5201,0.1085,0.5504,0.2737,0.5736,865,0.5195
EXC,5,26,0.5324,0.0942,0.553,0.2672,0.5262,778,0.5403
ARE,5,26,0.4854,0.1126,0.5494,0.275,0.5673,644,0.503
AMT,5,26,0.5043,0.0852,0.5226,0.2726,0.5812,388,0.4841
BXP,5,26,0.5067,0.13,0.559,0.2938,0.5866,609,0.4963
CPT,5,26,0.4805,0.0942,0.5199,0.2692,0.4776,481,0.5244
CBRE,5,25,0.5232,0.0998,0.4954,0.2802,0.5142,919,0.5619
CSGP,5,26,0.5238,0.1129,0.5828,0.2637,0.5023,598,0.4957
CCI,5,26,0.4951,0.0821,0.5168,0.2686,0.4396,473,0.4768
VMRK,5,26,0.5018,0.0985,0.519,0.2679,0.5368,642,0.5183
